timestamp,device_id,r1,r2,r3,r4,r5,r6
1746739848,ventilator_01,0.72,0.7418442439846071,0.0,0,0,0
1746742548,infusion_pump_02,0.9084883743824639,0.0,0.0,0,0,0
1746742867,ecg_monitor_02,0.74,0.0,0.0,0,0,0
1746739843,bed_sensor_03,0.0,0.0,0.0,0,0,0
1746740206,bed_sensor_03,1.0,0.0,0.0,0,0,0
1746742125,wheelchair_03,0.44,0.8833333333333333,1.0,0,0,0
1746742308,wheelchair_03,0.88,0.8666666666666667,1.0,0,0,0
1746741904,wheelchair_03,0.58,0.9416666666666667,0.8,0,0,0
1746741945,ecg_monitor_02,0.86,0.0,0.0,0,0,0
1746740142,bed_sensor_02,1.0,0.0,0.0,0,0,0
1746742600,infusion_pump_02,0.8445934343275523,0.0,0.0,0,0,0
1746742128,wheelchair_03,0.51,0.9,0.4,0,0,0
1746739457,wheelchair_03,0.92,0.8583333333333333,1.0,0,0,0
1746741544,wheelchair_01,0.69,0.9666666666666667,0.8,0,0,0
1746740678,ecg_monitor_03,0.9,0.0,0.0,0,0,0
1746739953,ventilator_02,0.72,0.9796612591481887,0.0,0,0,0
1746740581,ecg_monitor_03,0.9,0.0,0.0,0,0,0
1746741633,ventilator_03,0.76,0.6604434896939229,0.0,0,0,0
1746740756,bed_sensor_01,1.0,0.0,0.0,0,0,0
1746741369,wheelchair_03,0.6,0.95,0.6,0,0,0
1746740897,infusion_pump_01,0.5411770635378947,0.0,0.0,0,0,0
1746739977,ecg_monitor_01,1.0,0.0,0.0,0,0,0
1746742962,ventilator_02,0.68,0.6667675397117029,0.0,0,0,0
1746742130,ventilator_02,0.6,0.7859501401851986,0.0,0,0,0
1746742214,bed_sensor_03,0.0,0.0,0.0,0,0,0
1746740350,ecg_monitor_03,0.66,0.0,0.0,0,0,0
1746740777,ventilator_01,0.72,0.9787492313558537,0.0,0,0,0
1746741760,ventilator_01,0.68,0.8770170709589604,0.0,0,0,0
1746741317,ecg_monitor_03,0.93,0.0,0.0,0,0,0
1746742651,infusion_pump_02,0.5912003892702492,0.0,0.0,0,0,0
1746743004,infusion_pump_03,0.5155039178365322,0.0,0.0,0,0,0
1746740014,infusion_pump_02,0.20583867959377777,0.0,0.0,0,0,0
1746742102,infusion_pump_02,0.3320390966748629,0.0,0.0,0,0,0
1746741805,wheelchair_03,1.0,0.9666666666666667,0.8,0,0,0
1746741601,wheelchair_02,0.73,0.9083333333333333,0.8,0,0,0
1746742183,bed_sensor_02,1.0,0.0,0.0,0,0,0
1746740856,wheelchair_01,0.7,0.8916666666666667,0.2,0,0,0
1746740153,wheelchair_01,0.76,0.8333333333333334,1.0,0,0,0
1746741837,ecg_monitor_03,0.84,0.0,0.0,0,0,0
1746740532,wheelchair_03,1.0,0.9583333333333334,1.0,0,0,0
1746741956,wheelchair_01,0.95,0.8583333333333333,0.8,0,0,0
1746742052,infusion_pump_02,0.7780334868464318,0.0,0.0,0,0,0
1746741378,infusion_pump_02,0.6990194012708116,0.0,0.0,0,0,0
1746741002,wheelchair_03,0.76,0.9,0.8,0,0,0
1746739974,bed_sensor_01,0.0,0.0,0.0,0,0,0
1746742994,ecg_monitor_01,0.67,0.0,0.0,0,0,0
1746740012,infusion_pump_03,0.6581705692749747,0.0,0.0,0,0,0
