timestamp,device_id,r1,r2,r3,r4,r5,r6
1746671212,ventilator_01,0.84,0.8119746646463861,0.0,0,0,0
1746668193,infusion_pump_03,0.4231959895356682,0.0,0.0,0,0,0
1746671002,ventilator_02,0.52,0.7994932172132065,0.0,0,0,0
1746670333,bed_sensor_01,1.0,0.0,0.0,0,0,0
1746668589,infusion_pump_02,0.3725359539385488,0.0,0.0,0,0,0
1746668252,ecg_monitor_02,1.0,0.0,0.0,0,0,0
1746668385,ventilator_02,1.0,0.9693385701262403,0.0,0,0,0
1746670868,ventilator_01,0.84,0.9230815089522284,0.0,0,0,0
1746669846,infusion_pump_02,0.35963816285975125,0.0,0.0,0,0,0
1746669837,wheelchair_01,0.48,0.85,1.0,0,0,0
1746669901,ecg_monitor_02,0.96,0.0,0.0,0,0,0
1746670212,ecg_monitor_01,0.82,0.0,0.0,0,0,0
1746670636,bed_sensor_02,1.0,0.0,0.0,0,0,0
1746669677,ventilator_01,0.88,0.7078840647359504,0.0,0,0,0
1746669884,bed_sensor_03,1.0,0.0,0.0,0,0,0
1746668531,ecg_monitor_02,0.68,0.0,0.0,0,0,0
1746668139,infusion_pump_02,0.8740438676820061,0.0,0.0,0,0,0
1746669664,infusion_pump_03,0.400992381126607,0.0,0.0,0,0,0
1746670483,infusion_pump_03,0.39382517604697975,0.0,0.0,0,0,0
1746669187,infusion_pump_01,0.771606733260029,0.0,0.0,0,0,0
1746670990,infusion_pump_03,0.2252158697603828,0.0,0.0,0,0,0
1746669500,bed_sensor_01,1.0,0.0,0.0,0,0,0
1746667958,ecg_monitor_02,0.87,0.0,0.0,0,0,0
1746668340,wheelchair_02,0.59,0.8333333333333334,0.2,0,0,0
1746669707,ventilator_01,0.68,0.875497057190227,0.0,0,0,0
1746668304,wheelchair_03,0.27,0.9416666666666667,0.2,0,0,0
1746670627,bed_sensor_03,0.0,0.0,0.0,0,0,0
1746670796,wheelchair_03,0.47,1.0,0.2,0,0,0
1746668597,ventilator_02,0.72,0.6800458187017001,0.0,0,0,0
1746668982,bed_sensor_02,1.0,0.0,0.0,0,0,0
1746668713,bed_sensor_02,0.0,0.0,0.0,0,0,0
1746668410,ecg_monitor_01,0.92,0.0,0.0,0,0,0
1746668334,ventilator_02,0.72,0.644934620301108,0.0,0,0,0
1746670726,bed_sensor_01,0.0,0.0,0.0,0,0,0
1746670340,ecg_monitor_01,0.74,0.0,0.0,0,0,0
1746671206,infusion_pump_03,0.8233462418137956,0.0,0.0,0,0,0
1746669911,ecg_monitor_02,0.93,0.0,0.0,0,0,0
1746669064,ecg_monitor_02,0.86,0.0,0.0,0,0,0
1746669148,infusion_pump_01,0.32288686020451507,0.0,0.0,0,0,0
1746669708,ecg_monitor_02,1.0,0.0,0.0,0,0,0
1746669381,wheelchair_03,0.64,0.8916666666666667,1.0,0,0,0
1746670668,ventilator_01,0.48,0.8947713376804366,0.0,0,0,0
1746668874,ecg_monitor_02,0.65,0.0,0.0,0,0,0
1746670180,ventilator_02,0.96,0.8597333873190486,0.0,0,0,0
1746668497,ecg_monitor_02,0.72,0.0,0.0,0,0,0
1746669275,bed_sensor_01,0.0,0.0,0.0,0,0,0
1746671056,ventilator_01,0.64,0.7339368102580103,0.0,0,0,0
1746669838,ecg_monitor_01,0.72,0.0,0.0,0,0,0
1746670084,ecg_monitor_02,0.97,0.0,0.0,0,0,0
1746669925,ventilator_03,0.56,0.7734206951446623,0.0,0,0,0
1746670329,ventilator_02,0.52,0.6723296416079776,0.0,0,0,0
1746668602,ecg_monitor_03,0.89,0.0,0.0,0,0,0
1746668341,wheelchair_03,0.97,0.8333333333333334,1.0,0,0,0
1746670331,wheelchair_01,0.91,0.875,0.6,0,0,0
1746670059,ecg_monitor_02,0.64,0.0,0.0,0,0,0
1746671068,ventilator_02,0.64,0.7649409301933678,0.0,0,0,0
1746667845,ventilator_01,1.0,0.9837878424098582,0.0,0,0,0
1746667908,ecg_monitor_03,0.91,0.0,0.0,0,0,0
1746668621,ecg_monitor_02,0.93,0.0,0.0,0,0,0
1746669574,wheelchair_03,0.94,0.9,1.0,0,0,0
1746667675,ventilator_03,0.88,0.84135967379664,0.0,0,0,0
1746670350,wheelchair_01,0.22,0.9916666666666667,0.2,0,0,0
1746668292,ventilator_02,0.56,0.8286279312601762,0.0,0,0,0
